Bait	Prey	#Rep	#Pep	#Frag	AvgP	BFDR
MEPCE	gi|33469919|gn|MCM4:4173| DNA replication licensing factor MCM4 [Homo sapiens]	3	18	5|5|5|5|5|5|5|10|10|5|10|5|5|5|5|5|5|5	0.3907305	0.2835691
EIF4A2	gi|33469968|gn|MCM7:4176| DNA replication licensing factor MCM7 isoform 1 [Homo sapiens]	3	18	5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5	0.5236177	0.1785965
MEPCE	gi|33469968|gn|MCM7:4176| DNA replication licensing factor MCM7 isoform 1 [Homo sapiens]	3	18	5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5	0.4068704	0.2674933
EIF4A2	gi|334724463|gn|TWF1:5756| twinfilin-1 isoform 2 [Homo sapiens]	3	1	5	0.1170234	0.5407476
MEPCE	gi|334724463|gn|TWF1:5756| twinfilin-1 isoform 2 [Homo sapiens]	3	1	5	0.1086320	0.5466445
EIF4A2	gi|33589861|gn|RAB31:11031| ras-related protein Rab-31 [Homo sapiens]	3	1	5	0.6743317	0.0988230
MEPCE	gi|33589861|gn|RAB31:11031| ras-related protein Rab-31 [Homo sapiens]	3	1	5	0.4687413	0.2158686
EIF4A2	gi|336176064|gn|RBM39:9584| RNA-binding protein 39 isoform c [Homo sapiens]	3	12	5|5|5|5|5|5|5|5|5|5|5|10	0.0978198	0.5564428
MEPCE	gi|336176064|gn|RBM39:9584| RNA-binding protein 39 isoform c [Homo sapiens]	3	12	5|5|5|5|5|5|5|5|5|5|5|10	0.0520756	0.5904131
EIF4A2	gi|33636719|gn|TIMM44:10469| mitochondrial import inner membrane translocase subunit TIM44 [Homo sapiens]	3	3	5|5|5	0.1778035	0.4857621
MEPCE	gi|33636719|gn|TIMM44:10469| mitochondrial import inner membrane translocase subunit TIM44 [Homo sapiens]	3	3	5|5|5	0.0842667	0.5677794
EIF4A2	gi|337756507|gn|MTHFD1L:25902| monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform 3 [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|5	0.1300224	0.5298218
MEPCE	gi|337756507|gn|MTHFD1L:25902| monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform 3 [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|5	0.3513274	0.3196360
EIF4A2	gi|338753429|gn|NUP93:9688| nuclear pore complex protein Nup93 isoform 2 [Homo sapiens]	3	1	5	0.1221327	0.5351332
MEPCE	gi|338753429|gn|NUP93:9688| nuclear pore complex protein Nup93 isoform 2 [Homo sapiens]	3	1	5	0.0090860	0.6263173
EIF4A2	gi|338797808|gn|FDPS:2224| farnesyl pyrophosphate synthase isoform b [Homo sapiens]	3	1	5	0.6112618	0.1338308
MEPCE	gi|338797808|gn|FDPS:2224| farnesyl pyrophosphate synthase isoform b [Homo sapiens]	3	1	5	0.5470678	0.1663591
EIF4A2	gi|338858017|gn|LOC100293534:100293534| complement C4-B-like preproprotein [Homo sapiens]	3	2	5|5	0.1391352	0.5203575
MEPCE	gi|338858017|gn|LOC100293534:100293534| complement C4-B-like preproprotein [Homo sapiens]	3	2	5|5	0.0090434	0.6264727
EIF4A2	gi|338968932|gn|CSDE1:7812| cold shock domain-containing protein E1 isoform 1 [Homo sapiens]	3	4	5|5|5|5	0.7880473	0.0536023
MEPCE	gi|338968932|gn|CSDE1:7812| cold shock domain-containing protein E1 isoform 1 [Homo sapiens]	3	4	5|5|5|5	0.4757221	0.2103512
EIF4A2	gi|339275831|gn|EIF3L:51386| eukaryotic translation initiation factor 3 subunit L isoform 2 [Homo sapiens]	3	33	5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5	0.9999741	0.0000041
MEPCE	gi|339275831|gn|EIF3L:51386| eukaryotic translation initiation factor 3 subunit L isoform 2 [Homo sapiens]	3	33	5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5	0.4869391	0.2048185
EIF4A2	gi|339275993|gn|ASCC2:84164| activating signal cointegrator 1 complex subunit 2 isoform 2 [Homo sapiens]	3	2	5|5	0.5791238	0.1481939
MEPCE	gi|339275993|gn|ASCC2:84164| activating signal cointegrator 1 complex subunit 2 isoform 2 [Homo sapiens]	3	2	5|5	0.2777802	0.3893413
EIF4A2	gi|339409190|gn|SNX1:6642| sorting nexin-1 isoform d [Homo sapiens]	3	1	5	0.3459464	0.3234270
MEPCE	gi|339409190|gn|SNX1:6642| sorting nexin-1 isoform d [Homo sapiens]	3	1	5	0.3609452	0.3097991
EIF4A2	gi|33946297|gn|ZNF326:284695| DBIRD complex subunit ZNF326 isoform 1 [Homo sapiens]	3	1	5	0.3855494	0.2877469
MEPCE	gi|33946297|gn|ZNF326:284695| DBIRD complex subunit ZNF326 isoform 1 [Homo sapiens]	3	1	5	0.9226345	0.0153402
EIF4A2	gi|33946327|gn|NUP214:8021| nuclear pore complex protein Nup214 [Homo sapiens]	3	1	5	0.2326906	0.4360795
MEPCE	gi|33946327|gn|NUP214:8021| nuclear pore complex protein Nup214 [Homo sapiens]	3	1	5	0.0828568	0.5695203
EIF4A2	gi|339639597|gn|SEPT7:989| septin-7 isoform 3 [Homo sapiens]	3	4	5|5|5|5	0.1411666	0.5187871
MEPCE	gi|339639597|gn|SEPT7:989| septin-7 isoform 3 [Homo sapiens]	3	4	5|5|5|5	0.2693471	0.3971930
EIF4A2	gi|34098946|gn|YBX1:4904| nuclease-sensitive element-binding protein 1 [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.9996021	0.0000484
MEPCE	gi|34098946|gn|YBX1:4904| nuclease-sensitive element-binding protein 1 [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.9890754	0.0017137
EIF4A2	gi|34147513|gn|RAB7A:7879| ras-related protein Rab-7a [Homo sapiens]	3	2	5|5	0.3551064	0.3154540
MEPCE	gi|34147513|gn|RAB7A:7879| ras-related protein Rab-7a [Homo sapiens]	3	2	5|5	0.0865724	0.5662052
EIF4A2	gi|34147630|gn|TUFM:7284| elongation factor Tu, mitochondrial precursor [Homo sapiens]	3	10	5|5|5|10|5|5|5|5|5|5	0.2362580	0.4316228
MEPCE	gi|34147630|gn|TUFM:7284| elongation factor Tu, mitochondrial precursor [Homo sapiens]	3	10	5|5|5|10|5|5|5|5|5|5	0.1337351	0.5263768
EIF4A2	gi|34147637|gn|COPS6:10980| COP9 signalosome complex subunit 6 [Homo sapiens]	3	2	5|5	0.0746650	0.5738577
MEPCE	gi|34147637|gn|COPS6:10980| COP9 signalosome complex subunit 6 [Homo sapiens]	3	2	5|5	0.2205288	0.4480952
EIF4A2	gi|341604768|gn|RPL13:6137| 60S ribosomal protein L13 isoform 2 [Homo sapiens]	3	2	5|5	0.5576490	0.1609717
MEPCE	gi|341604768|gn|RPL13:6137| 60S ribosomal protein L13 isoform 2 [Homo sapiens]	3	2	5|5	0.9770995	0.0038198
EIF4A2	gi|341604770|gn|RPL13:6137| 60S ribosomal protein L13 isoform 3 [Homo sapiens]	3	4	5|5|5|5	0.8534719	0.0316054
MEPCE	gi|341604770|gn|RPL13:6137| 60S ribosomal protein L13 isoform 3 [Homo sapiens]	3	4	5|5|5|5	0.9936608	0.0009831
EIF4A2	gi|342187211|gn|ALDOA:226| fructose-bisphosphate aldolase A isoform 2 [Homo sapiens]	3	15	5|5|5|5|5|5|10|5|5|5|5|5|5|5|10	0.7009711	0.0872087
MEPCE	gi|342187211|gn|ALDOA:226| fructose-bisphosphate aldolase A isoform 2 [Homo sapiens]	3	15	5|5|5|5|5|5|10|5|5|5|5|5|5|5|10	0.0547017	0.5878823
EIF4A2	gi|342349354|gn|RANBP6:26953| ran-binding protein 6 isoform 2 [Homo sapiens]	3	1	5	0.4572568	0.2253689
MEPCE	gi|342349354|gn|RANBP6:26953| ran-binding protein 6 isoform 2 [Homo sapiens]	3	1	5	0.2182672	0.4495136
EIF4A2	gi|342672030|gn|PRSS3:5646| trypsin-3 isoform 3 preproprotein [Homo sapiens]	3	2	5|5	0.1191180	0.5387012
MEPCE	gi|342672030|gn|PRSS3:5646| trypsin-3 isoform 3 preproprotein [Homo sapiens]	3	2	5|5	0.0585520	0.5861907
EIF4A2	gi|343887347|gn|CD2BP2:10421| CD2 antigen cytoplasmic tail-binding protein 2 [Homo sapiens]	3	3	5|5|5	0.1627585	0.5000788
MEPCE	gi|343887347|gn|CD2BP2:10421| CD2 antigen cytoplasmic tail-binding protein 2 [Homo sapiens]	3	3	5|5|5	0.4474116	0.2363001
EIF4A2	gi|344217752|gn|API5:8539| apoptosis inhibitor 5 isoform d [Homo sapiens]	3	1	5	0.5734922	0.1526410
MEPCE	gi|344217752|gn|API5:8539| apoptosis inhibitor 5 isoform d [Homo sapiens]	3	1	5	0.6368249	0.1216250
EIF4A2	gi|34485722|gn|KPNA3:3839| importin subunit alpha-3 [Homo sapiens]	3	6	5|5|5|5|5|5	0.5964185	0.1407793
MEPCE	gi|34485722|gn|KPNA3:3839| importin subunit alpha-3 [Homo sapiens]	3	6	5|5|5|5|5|5	0.9751789	0.0043458
EIF4A2	gi|345197228|gn|TRA2B:6434| transformer-2 protein homolog beta isoform 2 [Homo sapiens]	3	1	5	0.7436729	0.0718484
MEPCE	gi|345197228|gn|TRA2B:6434| transformer-2 protein homolog beta isoform 2 [Homo sapiens]	3	1	5	0.3985456	0.2746435
EIF4A2	gi|345199283|gn|HDLBP:3069| vigilin isoform b [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.4500750	0.2341436
MEPCE	gi|345199283|gn|HDLBP:3069| vigilin isoform b [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.5617149	0.1585289
EIF4A2	gi|345441817|gn|KIF2A:3796| kinesin-like protein KIF2A isoform 3 [Homo sapiens]	3	1	5	0.3509251	0.3203275
MEPCE	gi|345441817|gn|KIF2A:3796| kinesin-like protein KIF2A isoform 3 [Homo sapiens]	3	1	5	0.3020750	0.3680503
EIF4A2	gi|345478663|gn|PRPSAP2:5636| phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 4 [Homo sapiens]	3	2	5|5	0.0098300	0.6253831
MEPCE	gi|345478663|gn|PRPSAP2:5636| phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 4 [Homo sapiens]	3	2	5|5	0.1734356	0.4885473
EIF4A2	gi|345478668|gn|PRPSAP2:5636| phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 3 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.2296864	0.4397358
MEPCE	gi|345478668|gn|PRPSAP2:5636| phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 3 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.6438354	0.1177024
EIF4A2	gi|34577063|gn|ADSS:159| adenylosuccinate synthetase isozyme 2 [Homo sapiens]	3	1	5	0.1094074	0.5464610
MEPCE	gi|34577063|gn|ADSS:159| adenylosuccinate synthetase isozyme 2 [Homo sapiens]	3	1	5	0.0316077	0.6046115
EIF4A2	gi|346644849|gn|APEX1:328| DNA-(apurinic or apyrimidinic site) lyase [Homo sapiens]	3	1	5	0.0017067	0.6393571
MEPCE	gi|346644849|gn|APEX1:328| DNA-(apurinic or apyrimidinic site) lyase [Homo sapiens]	3	1	5	0.1841567	0.4792594
EIF4A2	gi|34740329|gn|HNRNPA3:220988| heterogeneous nuclear ribonucleoprotein A3 [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.9703736	0.0053620
MEPCE	gi|34740329|gn|HNRNPA3:220988| heterogeneous nuclear ribonucleoprotein A3 [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.9608434	0.0069151
EIF4A2	gi|347800662|gn|RAD23B:5887| UV excision repair protein RAD23 homolog B isoform 2 [Homo sapiens]	3	1	5	0.1381261	0.5213366
MEPCE	gi|347800662|gn|RAD23B:5887| UV excision repair protein RAD23 homolog B isoform 2 [Homo sapiens]	3	1	5	0.1336432	0.5265690
EIF4A2	gi|348041379|gn|MOB1B:92597| MOB kinase activator 1B isoform 1 [Homo sapiens]	3	1	5	0.0052256	0.6320100
MEPCE	gi|348041379|gn|MOB1B:92597| MOB kinase activator 1B isoform 1 [Homo sapiens]	3	1	5	0.0033988	0.6356369
EIF4A2	gi|348041385|gn|MOB1B:92597| MOB kinase activator 1B isoform 3 [Homo sapiens]	3	1	10	0.0561334	0.5875439
MEPCE	gi|348041385|gn|MOB1B:92597| MOB kinase activator 1B isoform 3 [Homo sapiens]	3	1	10	0.0022708	0.6380243
EIF4A2	gi|349585158|gn|DLST:1743| dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial isoform 2 precursor [Homo sapiens]	3	1	5	0.1009516	0.5539289
MEPCE	gi|349585158|gn|DLST:1743| dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial isoform 2 precursor [Homo sapiens]	3	1	5	0.0120569	0.6224047
EIF4A2	gi|349732206|gn|PRPF4:9128| U4/U6 small nuclear ribonucleoprotein Prp4 isoform 2 [Homo sapiens]	3	24	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.4249553	0.2527473
MEPCE	gi|349732206|gn|PRPF4:9128| U4/U6 small nuclear ribonucleoprotein Prp4 isoform 2 [Homo sapiens]	3	24	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.9996801	0.0000408
EIF4A2	gi|349732256|gn|TXN:7295| thioredoxin isoform 2 [Homo sapiens]	3	2	5|5	0.0163835	0.6165084
MEPCE	gi|349732256|gn|TXN:7295| thioredoxin isoform 2 [Homo sapiens]	3	2	5|5	0.0589632	0.5860216
EIF4A2	gi|34996527|gn|RPS19BP1:91582| active regulator of SIRT1 [Homo sapiens]	3	1	5	0.3947963	0.2797239
MEPCE	gi|34996527|gn|RPS19BP1:91582| active regulator of SIRT1 [Homo sapiens]	3	1	5	0.2165508	0.4516316
EIF4A2	gi|350276247|gn|PPP1CC:5501| serine/threonine-protein phosphatase PP1-gamma catalytic subunit isoform 2 [Homo sapiens]	3	1	5	0.2439267	0.4237951
MEPCE	gi|350276247|gn|PPP1CC:5501| serine/threonine-protein phosphatase PP1-gamma catalytic subunit isoform 2 [Homo sapiens]	3	1	5	0.2472742	0.4209787
EIF4A2	gi|350529366|gn|PPP1R12A:4659| protein phosphatase 1 regulatory subunit 12A isoform c [Homo sapiens]	3	1	5	0.0018268	0.6390616
MEPCE	gi|350529366|gn|PPP1R12A:4659| protein phosphatase 1 regulatory subunit 12A isoform c [Homo sapiens]	3	1	5	0.0174423	0.6158653
EIF4A2	gi|351721296|gn|SET:6418| protein SET isoform 3 [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.9358035	0.0112611
MEPCE	gi|351721296|gn|SET:6418| protein SET isoform 3 [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.9957498	0.0006639
EIF4A2	gi|354681995|gn|SPAG9:9043| C-Jun-amino-terminal kinase-interacting protein 4 isoform 4 [Homo sapiens]	3	4	5|5|5|5	0.0575088	0.5866980
MEPCE	gi|354681995|gn|SPAG9:9043| C-Jun-amino-terminal kinase-interacting protein 4 isoform 4 [Homo sapiens]	3	4	5|5|5|5	0.2678813	0.3988545
EIF4A2	gi|354725902|gn|RAB5B:5869| ras-related protein Rab-5B isoform 1 [Homo sapiens]	3	2	5|5	0.0595979	0.5853445
MEPCE	gi|354725902|gn|RAB5B:5869| ras-related protein Rab-5B isoform 1 [Homo sapiens]	3	2	5|5	0.0132680	0.6201899
EIF4A2	gi|355330276|gn|USP15:9958| ubiquitin carboxyl-terminal hydrolase 15 isoform 1 [Homo sapiens]	3	2	5|5	0.1295730	0.5302027
MEPCE	gi|355330276|gn|USP15:9958| ubiquitin carboxyl-terminal hydrolase 15 isoform 1 [Homo sapiens]	3	2	5|5	0.4625758	0.2204234
EIF4A2	gi|355330279|gn|USP15:9958| ubiquitin carboxyl-terminal hydrolase 15 isoform 3 [Homo sapiens]	3	2	5|5	0.3567926	0.3140474
MEPCE	gi|355330279|gn|USP15:9958| ubiquitin carboxyl-terminal hydrolase 15 isoform 3 [Homo sapiens]	3	2	5|5	0.7184033	0.0813509
EIF4A2	gi|355477275|gn|LSM4:25804| U6 snRNA-associated Sm-like protein LSm4 isoform 2 [Homo sapiens]	3	2	5|5	0.1356267	0.5246429
MEPCE	gi|355477275|gn|LSM4:25804| U6 snRNA-associated Sm-like protein LSm4 isoform 2 [Homo sapiens]	3	2	5|5	0.6936864	0.0892155
EIF4A2	gi|357933604|gn|ZNF638:27332| zinc finger protein 638 isoform 2 [Homo sapiens]	3	4	5|5|5|5	0.4751069	0.2112761
MEPCE	gi|357933604|gn|ZNF638:27332| zinc finger protein 638 isoform 2 [Homo sapiens]	3	4	5|5|5|5	0.7631687	0.0644610
EIF4A2	gi|358356402|gn|RPL15:6138| 60S ribosomal protein L15 isoform 1 [Homo sapiens]	3	4	5|5|5|5	0.8973684	0.0198805
MEPCE	gi|358356402|gn|RPL15:6138| 60S ribosomal protein L15 isoform 1 [Homo sapiens]	3	4	5|5|5|5	0.9798290	0.0032269
EIF4A2	gi|358438328|gn|ISYNA1:51477| inositol-3-phosphate synthase 1 isoform 4 [Homo sapiens]	3	1	5	0.3008377	0.3692475
MEPCE	gi|358438328|gn|ISYNA1:51477| inositol-3-phosphate synthase 1 isoform 4 [Homo sapiens]	3	1	5	0.0099762	0.6252272
EIF4A2	gi|359338991|gn|SYNCRIP:10492| heterogeneous nuclear ribonucleoprotein Q isoform 7 [Homo sapiens]	3	13	5|5|5|5|5|5|5|5|5|5|10|5|5	0.9976064	0.0003254
MEPCE	gi|359338991|gn|SYNCRIP:10492| heterogeneous nuclear ribonucleoprotein Q isoform 7 [Homo sapiens]	3	13	5|5|5|5|5|5|5|5|5|5|10|5|5	0.9991334	0.0001330
EIF4A2	gi|365192532|gn|MYH10:4628| myosin-10 isoform 1 [Homo sapiens]	3	48	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.2513398	0.4152566
MEPCE	gi|365192532|gn|MYH10:4628| myosin-10 isoform 1 [Homo sapiens]	3	48	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.1796559	0.4840404
EIF4A2	gi|371121601|gn|NAA10:8260| N-alpha-acetyltransferase 10 isoform 2 [Homo sapiens]	3	1	5	0.0854928	0.5667303
MEPCE	gi|371121601|gn|NAA10:8260| N-alpha-acetyltransferase 10 isoform 2 [Homo sapiens]	3	1	5	0.1055604	0.5492072
EIF4A2	gi|371502112|gn|CSE1L:1434| exportin-2 isoform 2 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.1149067	0.5427824
MEPCE	gi|371502112|gn|CSE1L:1434| exportin-2 isoform 2 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.1221782	0.5349441
EIF4A2	gi|371940938|gn|ATP1A3:478| sodium/potassium-transporting ATPase subunit alpha-3 isoform 2 [Homo sapiens]	3	5	5|10|5|5|5	0.1866409	0.4766227
MEPCE	gi|371940938|gn|ATP1A3:478| sodium/potassium-transporting ATPase subunit alpha-3 isoform 2 [Homo sapiens]	3	5	5|10|5|5|5	0.2541027	0.4123530
EIF4A2	gi|372266180|gn|NARR:100861437| ras-related protein Rab-34, isoform NARR [Homo sapiens]	3	1	5	0.0001770	0.6430166
MEPCE	gi|372266180|gn|NARR:100861437| ras-related protein Rab-34, isoform NARR [Homo sapiens]	3	1	5	0.2466699	0.4214927
EIF4A2	gi|374671789|gn|SSBP1:6742| single-stranded DNA-binding protein, mitochondrial precursor [Homo sapiens]	3	3	5|5|5	0.3273794	0.3415060
MEPCE	gi|374671789|gn|SSBP1:6742| single-stranded DNA-binding protein, mitochondrial precursor [Homo sapiens]	3	3	5|5|5	0.6278435	0.1264962
EIF4A2	gi|374858040|gn|PRMT8:56341| protein arginine N-methyltransferase 8 isoform 2 [Homo sapiens]	3	1	5	0.0024114	0.6375783
MEPCE	gi|374858040|gn|PRMT8:56341| protein arginine N-methyltransferase 8 isoform 2 [Homo sapiens]	3	1	5	0.0011046	0.6417059
EIF4A2	gi|375151590|gn|RPL10:6134| 60S ribosomal protein L10 isoform b [Homo sapiens]	3	1	5	0.8248674	0.0387287
MEPCE	gi|375151590|gn|RPL10:6134| 60S ribosomal protein L10 isoform b [Homo sapiens]	3	1	5	0.9354482	0.0114863
EIF4A2	gi|375151597|gn|RPL10:6134| 60S ribosomal protein L10 isoform c [Homo sapiens]	3	2	5|5	0.7151440	0.0818345
MEPCE	gi|375151597|gn|RPL10:6134| 60S ribosomal protein L10 isoform c [Homo sapiens]	3	2	5|5	0.9264154	0.0136095
EIF4A2	gi|375477430|gn|CCT4:10575| T-complex protein 1 subunit delta isoform b [Homo sapiens]	3	14	5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.1085657	0.5468283
MEPCE	gi|375477430|gn|CCT4:10575| T-complex protein 1 subunit delta isoform b [Homo sapiens]	3	14	5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.0740375	0.5742040
EIF4A2	gi|375493534|gn|CSNK2A1P:283106| casein kinase 2, alpha 1 polypeptide-like [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.9903963	0.0014398
MEPCE	gi|375493534|gn|CSNK2A1P:283106| casein kinase 2, alpha 1 polypeptide-like [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.4876143	0.2034239
EIF4A2	gi|37595752|gn|LBR:3930| lamin-B receptor [Homo sapiens]	3	2	5|5	0.1358243	0.5240624
MEPCE	gi|37595752|gn|LBR:3930| lamin-B receptor [Homo sapiens]	3	2	5|5	0.9950940	0.0007510
EIF4A2	gi|378548190|gn|RPS3:6188| 40S ribosomal protein S3 isoform 1 [Homo sapiens]	3	1	5	0.4910030	0.2010897
MEPCE	gi|378548190|gn|RPS3:6188| 40S ribosomal protein S3 isoform 1 [Homo sapiens]	3	1	5	0.7208752	0.0808708
EIF4A2	gi|379317177|gn|DDX21:9188| nucleolar RNA helicase 2 isoform 2 [Homo sapiens]	3	14	5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.9757864	0.0042395
MEPCE	gi|379317177|gn|DDX21:9188| nucleolar RNA helicase 2 isoform 2 [Homo sapiens]	3	14	5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.9988125	0.0001732
EIF4A2	gi|38027923|gn|COPS5:10987| COP9 signalosome complex subunit 5 [Homo sapiens]	3	1	5	0.3162488	0.3523987
MEPCE	gi|38027923|gn|COPS5:10987| COP9 signalosome complex subunit 5 [Homo sapiens]	3	1	5	0.6463552	0.1157411
EIF4A2	gi|38045896|gn|ERC1:23085| ELKS/Rab6-interacting/CAST family member 1 isoform delta [Homo sapiens]	3	6	5|5|5|5|5|5	0.4347810	0.2460706
MEPCE	gi|38045896|gn|ERC1:23085| ELKS/Rab6-interacting/CAST family member 1 isoform delta [Homo sapiens]	3	6	5|5|5|5|5|5	0.1811510	0.4820925
EIF4A2	gi|380503835|gn|DDX19B:11269| ATP-dependent RNA helicase DDX19B isoform 4 [Homo sapiens]	3	1	5	0.1446866	0.5160264
MEPCE	gi|380503835|gn|DDX19B:11269| ATP-dependent RNA helicase DDX19B isoform 4 [Homo sapiens]	3	1	5	0.0029077	0.6371317
EIF4A2	gi|380692328|gn|DDX56:54606| probable ATP-dependent RNA helicase DDX56 isoform 2 [Homo sapiens]	3	2	5|5	0.4358380	0.2456504
MEPCE	gi|380692328|gn|DDX56:54606| probable ATP-dependent RNA helicase DDX56 isoform 2 [Homo sapiens]	3	2	5|5	0.9101082	0.0184061
EIF4A2	gi|380692342|gn|DDX6:1656| probable ATP-dependent RNA helicase DDX6 [Homo sapiens]	3	6	5|5|5|5|5|5	0.9858383	0.0023012
MEPCE	gi|380692342|gn|DDX6:1656| probable ATP-dependent RNA helicase DDX6 [Homo sapiens]	3	6	5|5|5|5|5|5	0.3716587	0.3004350
EIF4A2	gi|381342476|gn|HNRNPH1:3187| heterogeneous nuclear ribonucleoprotein H [Homo sapiens]	3	13	10|5|5|5|5|5|5|5|10|5|5|5|10	0.6974766	0.0877059
MEPCE	gi|381342476|gn|HNRNPH1:3187| heterogeneous nuclear ribonucleoprotein H [Homo sapiens]	3	13	10|5|5|5|5|5|5|5|10|5|5|5|10	0.6345980	0.1221130
EIF4A2	gi|38146107|gn|RSRC2:65117| arginine/serine-rich coiled-coil protein 2 [Homo sapiens]	3	4	5|5|5|5	0.1852032	0.4783830
MEPCE	gi|38146107|gn|RSRC2:65117| arginine/serine-rich coiled-coil protein 2 [Homo sapiens]	3	4	5|5|5|5	0.2238912	0.4457290
EIF4A2	gi|38201714|gn|ELAVL1:1994| ELAV-like protein 1 [Homo sapiens]	3	6	5|5|5|5|10|5	0.9727842	0.0049029
MEPCE	gi|38201714|gn|ELAVL1:1994| ELAV-like protein 1 [Homo sapiens]	3	6	5|5|5|5|10|5	0.5390528	0.1697890
EIF4A2	gi|38202257|gn|GANAB:23193| neutral alpha-glucosidase AB isoform 2 precursor [Homo sapiens]	3	1	5	0.2531927	0.4134119
MEPCE	gi|38202257|gn|GANAB:23193| neutral alpha-glucosidase AB isoform 2 precursor [Homo sapiens]	3	1	5	0.1931660	0.4710677
EIF4A2	gi|38327039|gn|HSPA4:3308| heat shock 70 kDa protein 4 [Homo sapiens]	3	27	5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5	0.1004337	0.5544690
MEPCE	gi|38327039|gn|HSPA4:3308| heat shock 70 kDa protein 4 [Homo sapiens]	3	27	5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5	0.0963828	0.5569803
EIF4A2	gi|38327625|gn|CS:1431| citrate synthase, mitochondrial precursor [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|10	0.5895168	0.1437271
MEPCE	gi|38327625|gn|CS:1431| citrate synthase, mitochondrial precursor [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|10	0.9249540	0.0141012
EIF4A2	gi|38372925|gn|BSG:682| basigin isoform 2 [Homo sapiens]	3	1	5	0.0313777	0.6047761
MEPCE	gi|38372925|gn|BSG:682| basigin isoform 2 [Homo sapiens]	3	1	5	0.3075273	0.3629220
EIF4A2	gi|384367993|gn|COPS4:51138| COP9 signalosome complex subunit 4 isoform 2 [Homo sapiens]	3	4	5|5|5|5	0.1334175	0.5267611
MEPCE	gi|384367993|gn|COPS4:51138| COP9 signalosome complex subunit 4 isoform 2 [Homo sapiens]	3	4	5|5|5|5	0.2396949	0.4276061
EIF4A2	gi|384475521|gn|TKT:7086| transketolase isoform 2 [Homo sapiens]	3	1	5	0.6889429	0.0922517
MEPCE	gi|384475521|gn|TKT:7086| transketolase isoform 2 [Homo sapiens]	3	1	5	0.6400748	0.1196627
EIF4A2	gi|384475556|gn|HARS:3035| histidine--tRNA ligase, cytoplasmic isoform 4 [Homo sapiens]	3	3	5|5|5	0.1739294	0.4883336
MEPCE	gi|384475556|gn|HARS:3035| histidine--tRNA ligase, cytoplasmic isoform 4 [Homo sapiens]	3	3	5|5|5	0.2244733	0.4450152
EIF4A2	gi|38455427|gn|CCT4:10575| T-complex protein 1 subunit delta isoform a [Homo sapiens]	3	2	5|5	0.1168205	0.5411186
