Bait	Prey	#Rep	#Pep	AvgP	BFDR
EIF4A2	gi|330864679|gn|CAPZB:832| F-actin-capping protein subunit beta isoform 2 [Homo sapiens]	3	4	0.2122901	0.3839848
MEPCE	gi|330864679|gn|CAPZB:832| F-actin-capping protein subunit beta isoform 2 [Homo sapiens]	3	4	0.0300490	0.5636740
EIF4A2	gi|33188454|gn|PRDX2:7001| peroxiredoxin-2 isoform c [Homo sapiens]	3	1	0.0033507	0.6339228
MEPCE	gi|33188454|gn|PRDX2:7001| peroxiredoxin-2 isoform c [Homo sapiens]	3	1	0.0004682	0.6605979
EIF4A2	gi|332205939|gn|RAB11A:8766| ras-related protein Rab-11A isoform 2 [Homo sapiens]	3	3	0.0069475	0.6140968
MEPCE	gi|332205939|gn|RAB11A:8766| ras-related protein Rab-11A isoform 2 [Homo sapiens]	3	3	0.1132005	0.4794655
EIF4A2	gi|332634711|gn|ALDH1A2:8854| retinal dehydrogenase 2 isoform 4 [Homo sapiens]	3	4	0.1291246	0.4603782
MEPCE	gi|332634711|gn|ALDH1A2:8854| retinal dehydrogenase 2 isoform 4 [Homo sapiens]	3	4	0.0346373	0.5566049
EIF4A2	gi|332801071|gn|PPP2R2C:5522| protein phosphatase 2, regulatory subunit B, gamma isoform c [Homo sapiens]	3	1	0.0048953	0.6254423
MEPCE	gi|332801071|gn|PPP2R2C:5522| protein phosphatase 2, regulatory subunit B, gamma isoform c [Homo sapiens]	3	1	0.0159701	0.5842165
EIF4A2	gi|332801090|gn|HNRPDL:9987| heterogeneous nuclear ribonucleoprotein D-like isoform b [Homo sapiens]	3	2	0.5445560	0.1355403
MEPCE	gi|332801090|gn|HNRPDL:9987| heterogeneous nuclear ribonucleoprotein D-like isoform b [Homo sapiens]	3	2	0.0813057	0.5059819
EIF4A2	gi|33286418|gn|PKM2:5315| pyruvate kinase isozymes M1/M2 isoform a [Homo sapiens]	3	25	0.1808268	0.4110773
MEPCE	gi|33286418|gn|PKM2:5315| pyruvate kinase isozymes M1/M2 isoform a [Homo sapiens]	3	25	0.1391380	0.4500032
EIF4A2	gi|333440451|gn|CLASP2:23122| CLIP-associating protein 2 isoform 2 [Homo sapiens]	3	2	0.0078938	0.6115723
MEPCE	gi|333440451|gn|CLASP2:23122| CLIP-associating protein 2 isoform 2 [Homo sapiens]	3	2	0.0023107	0.6407991
EIF4A2	gi|33350932|gn|DYNC1H1:1778| cytoplasmic dynein 1 heavy chain 1 [Homo sapiens]	3	56	0.1750106	0.4161467
MEPCE	gi|33350932|gn|DYNC1H1:1778| cytoplasmic dynein 1 heavy chain 1 [Homo sapiens]	3	56	0.1047121	0.4866714
EIF4A2	gi|33356174|gn|PNN:5411| pinin [Homo sapiens]	3	1	0.3055912	0.3014753
MEPCE	gi|33356174|gn|PNN:5411| pinin [Homo sapiens]	3	1	0.1532840	0.4379135
EIF4A2	gi|33356547|gn|MCM2:4171| DNA replication licensing factor MCM2 [Homo sapiens]	3	16	0.1157893	0.4764950
MEPCE	gi|33356547|gn|MCM2:4171| DNA replication licensing factor MCM2 [Homo sapiens]	3	16	0.1633129	0.4285544
EIF4A2	gi|33386693|gn|PAIP1:10605| polyadenylate-binding protein-interacting protein 1 isoform 2 [Homo sapiens]	3	1	0.9846939	0.0013210
MEPCE	gi|33386693|gn|PAIP1:10605| polyadenylate-binding protein-interacting protein 1 isoform 2 [Homo sapiens]	3	1	0.2171834	0.3799312
EIF4A2	gi|334191701|gn|PFKP:5214| 6-phosphofructokinase type C isoform 2 [Homo sapiens]	3	9	0.1719372	0.4189734
MEPCE	gi|334191701|gn|PFKP:5214| 6-phosphofructokinase type C isoform 2 [Homo sapiens]	3	9	0.0731329	0.5165335
EIF4A2	gi|334688844|gn|GFAP:2670| glial fibrillary acidic protein isoform 3 [Homo sapiens]	3	1	0.9988780	0.0000631
MEPCE	gi|334688844|gn|GFAP:2670| glial fibrillary acidic protein isoform 3 [Homo sapiens]	3	1	0.0179595	0.5803033
EIF4A2	gi|33469919|gn|MCM4:4173| DNA replication licensing factor MCM4 [Homo sapiens]	3	18	0.3234651	0.2888599
MEPCE	gi|33469919|gn|MCM4:4173| DNA replication licensing factor MCM4 [Homo sapiens]	3	18	0.2703107	0.3339914
EIF4A2	gi|33469968|gn|MCM7:4176| DNA replication licensing factor MCM7 isoform 1 [Homo sapiens]	3	18	0.6113288	0.1126479
MEPCE	gi|33469968|gn|MCM7:4176| DNA replication licensing factor MCM7 isoform 1 [Homo sapiens]	3	18	0.4312355	0.2022633
EIF4A2	gi|334724463|gn|TWF1:5756| twinfilin-1 isoform 2 [Homo sapiens]	3	1	0.0647983	0.5239038
MEPCE	gi|334724463|gn|TWF1:5756| twinfilin-1 isoform 2 [Homo sapiens]	3	1	0.0053146	0.6230510
EIF4A2	gi|33589861|gn|RAB31:11031| ras-related protein Rab-31 [Homo sapiens]	3	1	0.0068297	0.6153488
MEPCE	gi|33589861|gn|RAB31:11031| ras-related protein Rab-31 [Homo sapiens]	3	1	0.0086250	0.6090183
EIF4A2	gi|336176064|gn|RBM39:9584| RNA-binding protein 39 isoform c [Homo sapiens]	3	12	0.0696634	0.5192515
MEPCE	gi|336176064|gn|RBM39:9584| RNA-binding protein 39 isoform c [Homo sapiens]	3	12	0.0615297	0.5275445
EIF4A2	gi|33636719|gn|TIMM44:10469| mitochondrial import inner membrane translocase subunit TIM44 [Homo sapiens]	3	3	0.1594136	0.4318976
MEPCE	gi|33636719|gn|TIMM44:10469| mitochondrial import inner membrane translocase subunit TIM44 [Homo sapiens]	3	3	0.0521562	0.5368604
EIF4A2	gi|337756507|gn|MTHFD1L:25902| monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform 3 [Homo sapiens]	3	11	0.0369842	0.5545863
MEPCE	gi|337756507|gn|MTHFD1L:25902| monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform 3 [Homo sapiens]	3	11	0.2396716	0.3608220
EIF4A2	gi|338753429|gn|NUP93:9688| nuclear pore complex protein Nup93 isoform 2 [Homo sapiens]	3	1	0.0001412	0.6651894
MEPCE	gi|338753429|gn|NUP93:9688| nuclear pore complex protein Nup93 isoform 2 [Homo sapiens]	3	1	0.0001135	0.6654638
EIF4A2	gi|338797808|gn|FDPS:2224| farnesyl pyrophosphate synthase isoform b [Homo sapiens]	3	1	0.5915722	0.1195698
MEPCE	gi|338797808|gn|FDPS:2224| farnesyl pyrophosphate synthase isoform b [Homo sapiens]	3	1	0.4957317	0.1660422
EIF4A2	gi|338858017|gn|LOC100293534:100293534| complement C4-B-like preproprotein [Homo sapiens]	3	2	0.0801739	0.5077652
MEPCE	gi|338858017|gn|LOC100293534:100293534| complement C4-B-like preproprotein [Homo sapiens]	3	2	0.0034103	0.6332705
EIF4A2	gi|338968932|gn|CSDE1:7812| cold shock domain-containing protein E1 isoform 1 [Homo sapiens]	3	4	0.8186283	0.0297357
MEPCE	gi|338968932|gn|CSDE1:7812| cold shock domain-containing protein E1 isoform 1 [Homo sapiens]	3	4	0.5647713	0.1309606
EIF4A2	gi|339275831|gn|EIF3L:51386| eukaryotic translation initiation factor 3 subunit L isoform 2 [Homo sapiens]	3	33	1.0000000	0.0000000
MEPCE	gi|339275831|gn|EIF3L:51386| eukaryotic translation initiation factor 3 subunit L isoform 2 [Homo sapiens]	3	33	0.5444217	0.1360587
EIF4A2	gi|339275993|gn|ASCC2:84164| activating signal cointegrator 1 complex subunit 2 isoform 2 [Homo sapiens]	3	2	0.6247453	0.1078635
MEPCE	gi|339275993|gn|ASCC2:84164| activating signal cointegrator 1 complex subunit 2 isoform 2 [Homo sapiens]	3	2	0.0855747	0.5013575
EIF4A2	gi|339409190|gn|SNX1:6642| sorting nexin-1 isoform d [Homo sapiens]	3	1	0.4724760	0.1798486
MEPCE	gi|339409190|gn|SNX1:6642| sorting nexin-1 isoform d [Homo sapiens]	3	1	0.0837845	0.5034182
EIF4A2	gi|33946297|gn|ZNF326:284695| DBIRD complex subunit ZNF326 isoform 1 [Homo sapiens]	3	1	0.6666401	0.0859249
MEPCE	gi|33946297|gn|ZNF326:284695| DBIRD complex subunit ZNF326 isoform 1 [Homo sapiens]	3	1	0.9922164	0.0005095
EIF4A2	gi|33946327|gn|NUP214:8021| nuclear pore complex protein Nup214 [Homo sapiens]	3	1	0.2664597	0.3373477
MEPCE	gi|33946327|gn|NUP214:8021| nuclear pore complex protein Nup214 [Homo sapiens]	3	1	0.1488513	0.4426578
EIF4A2	gi|339639597|gn|SEPT7:989| septin-7 isoform 3 [Homo sapiens]	3	4	0.1203257	0.4701900
MEPCE	gi|339639597|gn|SEPT7:989| septin-7 isoform 3 [Homo sapiens]	3	4	0.1966755	0.3985370
EIF4A2	gi|34098946|gn|YBX1:4904| nuclease-sensitive element-binding protein 1 [Homo sapiens]	3	7	1.0000000	0.0000000
MEPCE	gi|34098946|gn|YBX1:4904| nuclease-sensitive element-binding protein 1 [Homo sapiens]	3	7	0.9999997	0.0000000
EIF4A2	gi|34147513|gn|RAB7A:7879| ras-related protein Rab-7a [Homo sapiens]	3	2	0.1681982	0.4236395
MEPCE	gi|34147513|gn|RAB7A:7879| ras-related protein Rab-7a [Homo sapiens]	3	2	0.0048732	0.6257816
EIF4A2	gi|34147630|gn|TUFM:7284| elongation factor Tu, mitochondrial precursor [Homo sapiens]	3	10	0.1242519	0.4657376
MEPCE	gi|34147630|gn|TUFM:7284| elongation factor Tu, mitochondrial precursor [Homo sapiens]	3	10	0.1145161	0.4783882
EIF4A2	gi|34147637|gn|COPS6:10980| COP9 signalosome complex subunit 6 [Homo sapiens]	3	2	0.0044582	0.6278057
MEPCE	gi|34147637|gn|COPS6:10980| COP9 signalosome complex subunit 6 [Homo sapiens]	3	2	0.2610115	0.3443337
EIF4A2	gi|341604768|gn|RPL13:6137| 60S ribosomal protein L13 isoform 2 [Homo sapiens]	3	2	0.6979884	0.0640019
MEPCE	gi|341604768|gn|RPL13:6137| 60S ribosomal protein L13 isoform 2 [Homo sapiens]	3	2	0.9673625	0.0026289
EIF4A2	gi|341604770|gn|RPL13:6137| 60S ribosomal protein L13 isoform 3 [Homo sapiens]	3	4	0.8677962	0.0190582
MEPCE	gi|341604770|gn|RPL13:6137| 60S ribosomal protein L13 isoform 3 [Homo sapiens]	3	4	0.9986726	0.0000737
EIF4A2	gi|342187211|gn|ALDOA:226| fructose-bisphosphate aldolase A isoform 2 [Homo sapiens]	3	15	0.7805708	0.0369595
MEPCE	gi|342187211|gn|ALDOA:226| fructose-bisphosphate aldolase A isoform 2 [Homo sapiens]	3	15	0.0351197	0.5561572
EIF4A2	gi|342349354|gn|RANBP6:26953| ran-binding protein 6 isoform 2 [Homo sapiens]	3	1	0.3468369	0.2659652
MEPCE	gi|342349354|gn|RANBP6:26953| ran-binding protein 6 isoform 2 [Homo sapiens]	3	1	0.1211147	0.4693591
EIF4A2	gi|342672030|gn|PRSS3:5646| trypsin-3 isoform 3 preproprotein [Homo sapiens]	3	2	0.0560485	0.5318693
MEPCE	gi|342672030|gn|PRSS3:5646| trypsin-3 isoform 3 preproprotein [Homo sapiens]	3	2	0.0486375	0.5403861
EIF4A2	gi|343887347|gn|CD2BP2:10421| CD2 antigen cytoplasmic tail-binding protein 2 [Homo sapiens]	3	3	0.1255156	0.4643358
MEPCE	gi|343887347|gn|CD2BP2:10421| CD2 antigen cytoplasmic tail-binding protein 2 [Homo sapiens]	3	3	0.5385285	0.1407075
EIF4A2	gi|344217752|gn|API5:8539| apoptosis inhibitor 5 isoform d [Homo sapiens]	3	1	0.5365653	0.1432571
MEPCE	gi|344217752|gn|API5:8539| apoptosis inhibitor 5 isoform d [Homo sapiens]	3	1	0.6203259	0.1102398
EIF4A2	gi|34485722|gn|KPNA3:3839| importin subunit alpha-3 [Homo sapiens]	3	6	0.4565876	0.1910660
MEPCE	gi|34485722|gn|KPNA3:3839| importin subunit alpha-3 [Homo sapiens]	3	6	0.9620169	0.0032991
EIF4A2	gi|345197228|gn|TRA2B:6434| transformer-2 protein homolog beta isoform 2 [Homo sapiens]	3	1	0.9260760	0.0087363
MEPCE	gi|345197228|gn|TRA2B:6434| transformer-2 protein homolog beta isoform 2 [Homo sapiens]	3	1	0.1228904	0.4676917
EIF4A2	gi|345199283|gn|HDLBP:3069| vigilin isoform b [Homo sapiens]	3	8	0.5030576	0.1620416
MEPCE	gi|345199283|gn|HDLBP:3069| vigilin isoform b [Homo sapiens]	3	8	0.8593402	0.0200061
EIF4A2	gi|345441817|gn|KIF2A:3796| kinesin-like protein KIF2A isoform 3 [Homo sapiens]	3	1	0.2172595	0.3795913
MEPCE	gi|345441817|gn|KIF2A:3796| kinesin-like protein KIF2A isoform 3 [Homo sapiens]	3	1	0.2675456	0.3362322
EIF4A2	gi|345478663|gn|PRPSAP2:5636| phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 4 [Homo sapiens]	3	2	0.0020254	0.6439158
MEPCE	gi|345478663|gn|PRPSAP2:5636| phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 4 [Homo sapiens]	3	2	0.1923381	0.4030748
EIF4A2	gi|345478668|gn|PRPSAP2:5636| phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 3 [Homo sapiens]	3	9	0.1847835	0.4082050
MEPCE	gi|345478668|gn|PRPSAP2:5636| phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 3 [Homo sapiens]	3	9	0.7194866	0.0564162
EIF4A2	gi|34577063|gn|ADSS:159| adenylosuccinate synthetase isozyme 2 [Homo sapiens]	3	1	0.0180604	0.5798882
MEPCE	gi|34577063|gn|ADSS:159| adenylosuccinate synthetase isozyme 2 [Homo sapiens]	3	1	0.0082277	0.6101162
EIF4A2	gi|346644849|gn|APEX1:328| DNA-(apurinic or apyrimidinic site) lyase [Homo sapiens]	3	1	0.0005991	0.6581844
MEPCE	gi|346644849|gn|APEX1:328| DNA-(apurinic or apyrimidinic site) lyase [Homo sapiens]	3	1	0.2955765	0.3121980
EIF4A2	gi|34740329|gn|HNRNPA3:220988| heterogeneous nuclear ribonucleoprotein A3 [Homo sapiens]	3	7	0.9999999	0.0000000
MEPCE	gi|34740329|gn|HNRNPA3:220988| heterogeneous nuclear ribonucleoprotein A3 [Homo sapiens]	3	7	0.9999997	0.0000000
EIF4A2	gi|347800662|gn|RAD23B:5887| UV excision repair protein RAD23 homolog B isoform 2 [Homo sapiens]	3	1	0.0510651	0.5378034
MEPCE	gi|347800662|gn|RAD23B:5887| UV excision repair protein RAD23 homolog B isoform 2 [Homo sapiens]	3	1	0.3678665	0.2491473
EIF4A2	gi|348041379|gn|MOB1B:92597| MOB kinase activator 1B isoform 1 [Homo sapiens]	3	1	0.0033192	0.6345729
MEPCE	gi|348041379|gn|MOB1B:92597| MOB kinase activator 1B isoform 1 [Homo sapiens]	3	1	0.0019187	0.6453014
EIF4A2	gi|348041385|gn|MOB1B:92597| MOB kinase activator 1B isoform 3 [Homo sapiens]	3	1	0.0005603	0.6587553
MEPCE	gi|348041385|gn|MOB1B:92597| MOB kinase activator 1B isoform 3 [Homo sapiens]	3	1	0.0002711	0.6638107
EIF4A2	gi|349585158|gn|DLST:1743| dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial isoform 2 precursor [Homo sapiens]	3	1	0.0000408	0.6668295
MEPCE	gi|349585158|gn|DLST:1743| dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial isoform 2 precursor [Homo sapiens]	3	1	0.0006759	0.6574682
EIF4A2	gi|349732206|gn|PRPF4:9128| U4/U6 small nuclear ribonucleoprotein Prp4 isoform 2 [Homo sapiens]	3	24	0.3852673	0.2359243
MEPCE	gi|349732206|gn|PRPF4:9128| U4/U6 small nuclear ribonucleoprotein Prp4 isoform 2 [Homo sapiens]	3	24	1.0000000	0.0000000
EIF4A2	gi|349732256|gn|TXN:7295| thioredoxin isoform 2 [Homo sapiens]	3	2	0.0020935	0.6429862
MEPCE	gi|349732256|gn|TXN:7295| thioredoxin isoform 2 [Homo sapiens]	3	2	0.0167522	0.5819577
EIF4A2	gi|34996527|gn|RPS19BP1:91582| active regulator of SIRT1 [Homo sapiens]	3	1	0.0075547	0.6128381
MEPCE	gi|34996527|gn|RPS19BP1:91582| active regulator of SIRT1 [Homo sapiens]	3	1	0.6242636	0.1088154
EIF4A2	gi|350276247|gn|PPP1CC:5501| serine/threonine-protein phosphatase PP1-gamma catalytic subunit isoform 2 [Homo sapiens]	3	1	0.3037871	0.3046856
MEPCE	gi|350276247|gn|PPP1CC:5501| serine/threonine-protein phosphatase PP1-gamma catalytic subunit isoform 2 [Homo sapiens]	3	1	0.2495535	0.3533506
EIF4A2	gi|350529366|gn|PPP1R12A:4659| protein phosphatase 1 regulatory subunit 12A isoform c [Homo sapiens]	3	1	0.0005559	0.6590400
MEPCE	gi|350529366|gn|PPP1R12A:4659| protein phosphatase 1 regulatory subunit 12A isoform c [Homo sapiens]	3	1	0.0123011	0.5951990
EIF4A2	gi|351721296|gn|SET:6418| protein SET isoform 3 [Homo sapiens]	3	8	0.9842639	0.0013730
MEPCE	gi|351721296|gn|SET:6418| protein SET isoform 3 [Homo sapiens]	3	8	0.9992721	0.0000440
EIF4A2	gi|354681995|gn|SPAG9:9043| C-Jun-amino-terminal kinase-interacting protein 4 isoform 4 [Homo sapiens]	3	4	0.0144319	0.5894736
MEPCE	gi|354681995|gn|SPAG9:9043| C-Jun-amino-terminal kinase-interacting protein 4 isoform 4 [Homo sapiens]	3	4	0.2116889	0.3856639
EIF4A2	gi|354725902|gn|RAB5B:5869| ras-related protein Rab-5B isoform 1 [Homo sapiens]	3	2	0.1669911	0.4251803
MEPCE	gi|354725902|gn|RAB5B:5869| ras-related protein Rab-5B isoform 1 [Homo sapiens]	3	2	0.0022439	0.6418958
EIF4A2	gi|355330276|gn|USP15:9958| ubiquitin carboxyl-terminal hydrolase 15 isoform 1 [Homo sapiens]	3	2	0.0583492	0.5306713
MEPCE	gi|355330276|gn|USP15:9958| ubiquitin carboxyl-terminal hydrolase 15 isoform 1 [Homo sapiens]	3	2	0.3727648	0.2464430
EIF4A2	gi|355330279|gn|USP15:9958| ubiquitin carboxyl-terminal hydrolase 15 isoform 3 [Homo sapiens]	3	2	0.3477227	0.2646542
MEPCE	gi|355330279|gn|USP15:9958| ubiquitin carboxyl-terminal hydrolase 15 isoform 3 [Homo sapiens]	3	2	0.8381990	0.0242397
EIF4A2	gi|355477275|gn|LSM4:25804| U6 snRNA-associated Sm-like protein LSm4 isoform 2 [Homo sapiens]	3	2	0.0907976	0.4969400
MEPCE	gi|355477275|gn|LSM4:25804| U6 snRNA-associated Sm-like protein LSm4 isoform 2 [Homo sapiens]	3	2	0.7910480	0.0356949
EIF4A2	gi|357933604|gn|ZNF638:27332| zinc finger protein 638 isoform 2 [Homo sapiens]	3	4	0.5523523	0.1334824
MEPCE	gi|357933604|gn|ZNF638:27332| zinc finger protein 638 isoform 2 [Homo sapiens]	3	4	0.7896146	0.0365386
EIF4A2	gi|358356402|gn|RPL15:6138| 60S ribosomal protein L15 isoform 1 [Homo sapiens]	3	4	0.8407654	0.0227992
MEPCE	gi|358356402|gn|RPL15:6138| 60S ribosomal protein L15 isoform 1 [Homo sapiens]	3	4	0.9993854	0.0000355
EIF4A2	gi|358438328|gn|ISYNA1:51477| inositol-3-phosphate synthase 1 isoform 4 [Homo sapiens]	3	1	0.0018967	0.6456079
MEPCE	gi|358438328|gn|ISYNA1:51477| inositol-3-phosphate synthase 1 isoform 4 [Homo sapiens]	3	1	0.0036405	0.6319594
EIF4A2	gi|359338991|gn|SYNCRIP:10492| heterogeneous nuclear ribonucleoprotein Q isoform 7 [Homo sapiens]	3	13	1.0000000	0.0000000
MEPCE	gi|359338991|gn|SYNCRIP:10492| heterogeneous nuclear ribonucleoprotein Q isoform 7 [Homo sapiens]	3	13	1.0000000	0.0000000
EIF4A2	gi|365192532|gn|MYH10:4628| myosin-10 isoform 1 [Homo sapiens]	3	48	0.2201230	0.3761761
MEPCE	gi|365192532|gn|MYH10:4628| myosin-10 isoform 1 [Homo sapiens]	3	48	0.1217482	0.4685261
EIF4A2	gi|371121601|gn|NAA10:8260| N-alpha-acetyltransferase 10 isoform 2 [Homo sapiens]	3	1	0.0025991	0.6392213
MEPCE	gi|371121601|gn|NAA10:8260| N-alpha-acetyltransferase 10 isoform 2 [Homo sapiens]	3	1	0.0094341	0.6058770
EIF4A2	gi|371502112|gn|CSE1L:1434| exportin-2 isoform 2 [Homo sapiens]	3	9	0.0437700	0.5461834
MEPCE	gi|371502112|gn|CSE1L:1434| exportin-2 isoform 2 [Homo sapiens]	3	9	0.0116239	0.5969496
EIF4A2	gi|371940938|gn|ATP1A3:478| sodium/potassium-transporting ATPase subunit alpha-3 isoform 2 [Homo sapiens]	3	5	0.0091344	0.6068055
MEPCE	gi|371940938|gn|ATP1A3:478| sodium/potassium-transporting ATPase subunit alpha-3 isoform 2 [Homo sapiens]	3	5	0.0554191	0.5333029
EIF4A2	gi|372266180|gn|NARR:100861437| ras-related protein Rab-34, isoform NARR [Homo sapiens]	3	1	0.0000308	0.6671014
MEPCE	gi|372266180|gn|NARR:100861437| ras-related protein Rab-34, isoform NARR [Homo sapiens]	3	1	0.0447041	0.5454923
EIF4A2	gi|374671789|gn|SSBP1:6742| single-stranded DNA-binding protein, mitochondrial precursor [Homo sapiens]	3	3	0.3050211	0.3026840
MEPCE	gi|374671789|gn|SSBP1:6742| single-stranded DNA-binding protein, mitochondrial precursor [Homo sapiens]	3	3	0.6487121	0.0973452
EIF4A2	gi|374858040|gn|PRMT8:56341| protein arginine N-methyltransferase 8 isoform 2 [Homo sapiens]	3	1	0.0008809	0.6557379
MEPCE	gi|374858040|gn|PRMT8:56341| protein arginine N-methyltransferase 8 isoform 2 [Homo sapiens]	3	1	0.0005567	0.6588977
EIF4A2	gi|375151590|gn|RPL10:6134| 60S ribosomal protein L10 isoform b [Homo sapiens]	3	1	0.6734337	0.0781123
MEPCE	gi|375151590|gn|RPL10:6134| 60S ribosomal protein L10 isoform b [Homo sapiens]	3	1	0.9431457	0.0063684
EIF4A2	gi|375151597|gn|RPL10:6134| 60S ribosomal protein L10 isoform c [Homo sapiens]	3	2	0.9976446	0.0001631
MEPCE	gi|375151597|gn|RPL10:6134| 60S ribosomal protein L10 isoform c [Homo sapiens]	3	2	1.0000000	0.0000000
EIF4A2	gi|375477430|gn|CCT4:10575| T-complex protein 1 subunit delta isoform b [Homo sapiens]	3	14	0.0456891	0.5448008
MEPCE	gi|375477430|gn|CCT4:10575| T-complex protein 1 subunit delta isoform b [Homo sapiens]	3	14	0.0233913	0.5725274
EIF4A2	gi|375493534|gn|CSNK2A1P:283106| casein kinase 2, alpha 1 polypeptide-like [Homo sapiens]	3	8	0.9999891	0.0000005
MEPCE	gi|375493534|gn|CSNK2A1P:283106| casein kinase 2, alpha 1 polypeptide-like [Homo sapiens]	3	8	0.3884055	0.2322151
EIF4A2	gi|37595752|gn|LBR:3930| lamin-B receptor [Homo sapiens]	3	2	0.0180338	0.5800959
MEPCE	gi|37595752|gn|LBR:3930| lamin-B receptor [Homo sapiens]	3	2	1.0000000	0.0000000
EIF4A2	gi|378548190|gn|RPS3:6188| 40S ribosomal protein S3 isoform 1 [Homo sapiens]	3	1	0.7611871	0.0436842
MEPCE	gi|378548190|gn|RPS3:6188| 40S ribosomal protein S3 isoform 1 [Homo sapiens]	3	1	0.7137842	0.0579017
EIF4A2	gi|379317177|gn|DDX21:9188| nucleolar RNA helicase 2 isoform 2 [Homo sapiens]	3	14	1.0000000	0.0000000
MEPCE	gi|379317177|gn|DDX21:9188| nucleolar RNA helicase 2 isoform 2 [Homo sapiens]	3	14	1.0000000	0.0000000
EIF4A2	gi|38027923|gn|COPS5:10987| COP9 signalosome complex subunit 5 [Homo sapiens]	3	1	0.0551963	0.5335410
MEPCE	gi|38027923|gn|COPS5:10987| COP9 signalosome complex subunit 5 [Homo sapiens]	3	1	0.7415513	0.0501947
EIF4A2	gi|38045896|gn|ERC1:23085| ELKS/Rab6-interacting/CAST family member 1 isoform delta [Homo sapiens]	3	6	0.4510658	0.1939702
MEPCE	gi|38045896|gn|ERC1:23085| ELKS/Rab6-interacting/CAST family member 1 isoform delta [Homo sapiens]	3	6	0.1392016	0.4497114
EIF4A2	gi|380503835|gn|DDX19B:11269| ATP-dependent RNA helicase DDX19B isoform 4 [Homo sapiens]	3	1	0.0136231	0.5922546
MEPCE	gi|380503835|gn|DDX19B:11269| ATP-dependent RNA helicase DDX19B isoform 4 [Homo sapiens]	3	1	0.0000536	0.6665573
EIF4A2	gi|380692328|gn|DDX56:54606| probable ATP-dependent RNA helicase DDX56 isoform 2 [Homo sapiens]	3	2	0.2949180	0.3125898
MEPCE	gi|380692328|gn|DDX56:54606| probable ATP-dependent RNA helicase DDX56 isoform 2 [Homo sapiens]	3	2	0.9021346	0.0117439
EIF4A2	gi|380692342|gn|DDX6:1656| probable ATP-dependent RNA helicase DDX6 [Homo sapiens]	3	6	1.0000000	0.0000000
MEPCE	gi|380692342|gn|DDX6:1656| probable ATP-dependent RNA helicase DDX6 [Homo sapiens]	3	6	0.4500140	0.1944538
EIF4A2	gi|381342476|gn|HNRNPH1:3187| heterogeneous nuclear ribonucleoprotein H [Homo sapiens]	3	13	0.8844426	0.0155537
MEPCE	gi|381342476|gn|HNRNPH1:3187| heterogeneous nuclear ribonucleoprotein H [Homo sapiens]	3	13	0.6987091	0.0629874
EIF4A2	gi|38146107|gn|RSRC2:65117| arginine/serine-rich coiled-coil protein 2 [Homo sapiens]	3	4	0.1292953	0.4595244
MEPCE	gi|38146107|gn|RSRC2:65117| arginine/serine-rich coiled-coil protein 2 [Homo sapiens]	3	4	0.3148467	0.2954031
EIF4A2	gi|38201714|gn|ELAVL1:1994| ELAV-like protein 1 [Homo sapiens]	3	6	0.9974642	0.0001726
MEPCE	gi|38201714|gn|ELAVL1:1994| ELAV-like protein 1 [Homo sapiens]	3	6	0.3766466	0.2423606
EIF4A2	gi|38202257|gn|GANAB:23193| neutral alpha-glucosidase AB isoform 2 precursor [Homo sapiens]	3	1	0.3207858	0.2909109
MEPCE	gi|38202257|gn|GANAB:23193| neutral alpha-glucosidase AB isoform 2 precursor [Homo sapiens]	3	1	0.2393910	0.3611749
EIF4A2	gi|38327039|gn|HSPA4:3308| heat shock 70 kDa protein 4 [Homo sapiens]	3	27	0.1421417	0.4470766
MEPCE	gi|38327039|gn|HSPA4:3308| heat shock 70 kDa protein 4 [Homo sapiens]	3	27	0.0783853	0.5110476
EIF4A2	gi|38327625|gn|CS:1431| citrate synthase, mitochondrial precursor [Homo sapiens]	3	9	0.5902995	0.1205567
MEPCE	gi|38327625|gn|CS:1431| citrate synthase, mitochondrial precursor [Homo sapiens]	3	9	0.9867555	0.0010271
EIF4A2	gi|38372925|gn|BSG:682| basigin isoform 2 [Homo sapiens]	3	1	0.0012937	0.6508916
MEPCE	gi|38372925|gn|BSG:682| basigin isoform 2 [Homo sapiens]	3	1	0.0033849	0.6335969
EIF4A2	gi|384367993|gn|COPS4:51138| COP9 signalosome complex subunit 4 isoform 2 [Homo sapiens]	3	4	0.2493063	0.3540650
MEPCE	gi|384367993|gn|COPS4:51138| COP9 signalosome complex subunit 4 isoform 2 [Homo sapiens]	3	4	0.2079306	0.3883337
EIF4A2	gi|384475521|gn|TKT:7086| transketolase isoform 2 [Homo sapiens]	3	1	0.6767653	0.0751115
MEPCE	gi|384475521|gn|TKT:7086| transketolase isoform 2 [Homo sapiens]	3	1	0.9521747	0.0050084
